"tank","row","column","stable","unstable"
"E1","FV","A_o",518,482
"E1","FV","I_o",169,831
"E1","FV","G_h",615,385
"E1","FA","A_o",420,580
"E1","FA","I_o",168,832
"E1","FA","G_h",331,669
"E1","A_d","P_o",594,406
"E1","A_o","P_o",355,645
"E1","G_d","P_o",524,476
"E1","G_h","P_o",101,899
"E1","B_f","P_o",1000,0
"E1","P_d","P_o",95,905
"E1","P_o","P_o",558,442
"E1","POC","A_d",647,353
"E1","POC","A_o",1000,0
"E1","POC","I_d",941,59
"E1","POC","I_o",847,153
"E1","POC","G_d",500,500
"E1","POC","G_h",573,427
"E1","POC","B_f",1000,0
"E1","POC","P_d",179,821
"E1","POC","P_o",511,489
"E2","ZM","A_o",952,48
"E2","ZM","I_o",1000,0
"E2","ZM","G_h",764,236
"E2","FV","A_o",757,243
"E2","FV","I_o",1000,0
"E2","FV","G_h",1000,0
"E2","FA","A_o",502,498
"E2","FA","I_o",663,337
"E2","FA","G_h",555,445
"E2","A_d","P_o",570,430
"E2","A_o","P_o",524,476
"E2","G_d","P_o",495,505
"E2","G_h","P_o",1000,0
"E2","B_f","P_o",535,465
"E2","P_d","P_o",460,540
"E2","P_o","P_o",509,491
"E2","POC","A_d",564,436
"E2","POC","A_o",576,424
"E2","POC","I_d",1000,0
"E2","POC","I_o",1000,0
"E2","POC","G_d",508,492
"E2","POC","G_h",916,84
"E2","POC","B_f",541,459
"E2","POC","P_d",528,472
"E2","POC","P_o",532,468
"F1","ZM","A_o",507,493
"F1","ZM","I_o",502,498
"F1","ZM","G_h",541,459
"F1","FV","A_o",477,523
"F1","FV","I_o",567,433
"F1","FV","G_h",505,495
"F1","FA","A_o",512,488
"F1","FA","I_o",690,310
"F1","FA","G_h",521,479
"F1","A_d","P_o",545,455
"F1","A_o","P_o",494,506
"F1","G_d","P_o",484,516
"F1","G_h","P_o",468,532
"F1","B_f","P_o",513,487
"F1","P_d","P_o",482,518
"F1","P_o","P_o",495,505
"F1","POC","A_d",569,431
"F1","POC","A_o",535,465
"F1","POC","I_d",1000,0
"F1","POC","I_o",989,11
"F1","POC","G_d",498,502
"F1","POC","G_h",503,497
"F1","POC","B_f",521,479
"F1","POC","P_d",1000,0
"F1","POC","P_o",491,509
"F2","ZM","A_o",936,64
"F2","ZM","I_o",1000,0
"F2","ZM","G_h",1000,0
"F2","FV","A_o",1000,0
"F2","FV","I_o",1000,0
"F2","FV","G_h",1000,0
"F2","FA","A_o",563,437
"F2","FA","I_o",1000,0
"F2","FA","G_h",754,246
"F2","A_d","P_o",496,504
"F2","A_o","P_o",538,462
"F2","G_d","P_o",525,475
"F2","G_h","P_o",880,120
"F2","B_f","P_o",572,428
"F2","P_d","P_o",498,502
"F2","P_o","P_o",523,477
"F2","POC","A_d",541,459
"F2","POC","A_o",909,91
"F2","POC","I_d",1000,0
"F2","POC","I_o",1000,0
"F2","POC","G_d",480,520
"F2","POC","G_h",740,260
"F2","POC","B_f",1000,0
"F2","POC","P_d",488,512
"F2","POC","P_o",501,499
