"tank","treat","shannon_values_B"
"A1","0HW",1.2359863310084
"A2","0HW",1.33381814859602
"B2","3HW",1.07891688977948
"C1","1HW",1.08767317515604
"C2","1HW",1.14553356148505
"D1","0HW",1.16240847013114
"D2","0HW",1.07398855888616
"E1","3HW",1.26634580996446
"E2","3HW",1.11900428506189
"F1","1HW",1.2235744824246
"F2","1HW",1.0384544142827
