"d13C","d15N","d34S","treatment"
-15.594,8.664,15.562,"control"
-13.158,8.942,16.554,"control"
-14.959,8.237,14.766,"control"
-14.513,9.747,15.048,"control"
-13.128,8.286,14.712,"3HW"
-15.301,7.722,15.27,"3HW"
-13.738,9.635,14.839,"3HW"
-13.684,8.69,15.809,"3HW"
-12.777,8.713,14.668,"1HW"
-16.356,8.765,14.34,"1HW"
-14.606,8.763,14.512,"1HW"
-14.632,9.577,14.96,"1HW"
