"d13C","d15N","d34S","treatment"
-14.788,8.331,15.103,"control"
-18.833,7.979,15.282,"control"
-18.826,8.196,14.165,"control"
-17.009,7.815,15.632,"control"
-16.595,9.716,13.556,"3HW"
-17.975,8.852,15.512,"3HW"
-18.112,8.785,14.442,"3HW"
-18.579,7.976,14.319,"1HW"
-18.906,8.04,11.662,"1HW"
