Date/Time;Depth water [m];Species;Group;Samp type;Size;Ind No [#];Samp m [mg];δ13C [‰ PDB]_new;δ15N [‰ air]_new;δ13C [‰ PDB]_wrong;δ15N [‰ air]_wrong;δ34S [‰ CDT];C/N;N [mg];C [mg];S [mg];Temp [°C];Sal
04.08.11;18;Mytilus edulis;Bivalvia;muscle tissue;<30 mm;5;0.05050;-22.166;6.026;6.026;-22.166;17.362;4.988;0.006002;0.025661;0.000838;187;137
18.08.11;24;Mytilus edulis;Bivalvia;muscle tissue;<20 mm;4;0.05070;-21.382;7.450;7.450;-21.382;14.254;4.567;0.006962;0.027252;0.000910;170;148
30.08.11;43;Mytilus edulis;Bivalvia;muscle tissue;17 mm;2;0.05110;-21.290;6.960;6.960;-21.290;15.146;7.810;0.009960;0.066670;0.000914;151;169
30.08.11;43;Mytilus edulis;Bivalvia;muscle tissue;~10 mm;3;0.05110;-21.462;7.294;7.294;-21.462;14.567;7.629;0.009922;0.064876;0.000944;151;169
23.06.11;24;Mytilus edulis;Bivalvia;muscle tissue;20 - 25 mm;7;0.05120;-24.192;7.232;7.232;-24.192;17.174;5.187;0.004910;0.021826;0.015954;151;162
21.04.11;67;Mytilus edulis;Bivalvia;muscle tissue;35 mm;1;0.05160;-22.459;9.065;9.065;-22.459;16.865;5.059;0.005154;0.022350;0.015966;71;165
21.04.11;67;Mytilus edulis;Bivalvia;muscle tissue;15 mm;4;0.05170;-19.464;10.048;10.048;-19.464;14.410;4.735;0.005279;0.021426;0.000421;71;165
04.08.11;18;Mytilus edulis;Bivalvia;muscle tissue;<30 mm;5;0.05170;-21.928;6.460;6.460;-21.928;17.314;4.599;0.006330;0.024954;0.000894;187;137
07.07.11;23;Mytilus edulis;Bivalvia;muscle tissue;<35 mm;12;0.05170;-22.686;8.430;8.430;-22.686;15.802;5.196;0.004486;0.019979;0.020126;174;152
19.05.11;22;Mytilus edulis;Bivalvia;muscle tissue;15 - 20 mm;5;0.05280;-21.484;10.346;10.346;-21.484;12.355;5.456;0.004570;0.021372;0.000687;120;131
18.08.11;24;Mytilus edulis;Bivalvia;muscle tissue;<20 mm;5;0.05300;-21.241;6.511;6.511;-21.241;14.425;4.927;0.005353;0.022609;0.000652;170;148
08.03.11;50;Mytilus edulis;Bivalvia;muscle tissue;<8 mm;1;0.05310;-20.691;6.378;6.378;-20.691;13.720;4.362;0.005368;0.020072;0.000698;12;132
21.07.11;26;Mytilus edulis;Bivalvia;muscle tissue;20 mm;10;0.05530;-23.314;6.789;6.789;-23.314;16.540;5.224;0.004877;0.021839;0.000673;177;138
21.07.11;26;Mytilus edulis;Bivalvia;muscle tissue;20 mm;10;0.05590;-23.141;7.138;7.138;-23.141;16.963;5.338;0.005529;0.025297;0.000891;177;138
22.03.11;65;Mytilus edulis;Bivalvia;muscle tissue;36 mm;1;0.05640;-21.768;7.111;7.111;-21.768;13.921;4.290;0.006038;0.022203;0.000803;22;149
04.08.11;18;Mytilus edulis;Bivalvia;muscle tissue;<30 mm;5;0.05640;-22.207;6.117;6.117;-22.207;17.157;5.058;0.005791;0.025107;0.000724;187;137
08.03.11;50;Mytilus edulis;Bivalvia;muscle tissue;<8 mm;1;0.05690;-21.660;6.971;6.971;-21.660;13.551;4.325;0.006128;0.022715;0.000822;12;132
09.06.11;26;Mytilus edulis;Bivalvia;muscle tissue;20 mm;5;0.05710;-22.642;8.104;8.104;-22.642;17.001;4.403;0.006226;0.023494;0.000766;156;155
23.06.11;24;Mytilus edulis;Bivalvia;muscle tissue;10 - 20 mm;10;0.05730;-23.375;7.990;7.990;-23.375;17.843;4.609;0.006241;0.024655;0.000724;151;162
19.05.11;22;Mytilus edulis;Bivalvia;muscle tissue;27 mm;1;0.05800;-23.083;6.994;6.994;-23.083;16.226;4.829;0.005176;0.021425;0.000782;120;131
30.08.11;43;Mytilus edulis;Bivalvia;muscle tissue;27 mm;1;0.05820;-18.000;12.272;12.272;-18.000;7.910;6.628;0.011644;0.066154;0.000963;151;169
23.06.11;24;Mytilus edulis;Bivalvia;muscle tissue;30 mm;1;0.05830;-23.996;7.056;7.056;-23.996;18.232;4.782;0.005320;0.021804;0.000722;151;162
08.03.11;50;Mytilus edulis;Bivalvia;muscle tissue;<8 mm;1;0.05960;-21.592;6.827;6.827;-21.592;13.488;4.377;0.006296;0.023620;0.000816;12;132
15.09.11;19;Mytilus edulis;Bivalvia;muscle tissue;<15 mm;4;0.06020;-21.059;6.815;6.815;-21.059;17.383;5.140;0.006452;0.028428;0.000877;150;174
05.05.11;40;Mytilus edulis;Bivalvia;muscle tissue;46 mm;1;0.06050;-22.413;8.479;8.479;-22.413;16.374;5.244;0.004403;0.019790;0.000669;99;171
15.09.11;19;Mytilus edulis;Bivalvia;muscle tissue;<11 mm;4;0.06100;-21.095;7.560;7.560;-21.095;17.186;5.374;0.005708;0.026291;0.000704;150;174
09.06.11;26;Mytilus edulis;Bivalvia;muscle tissue;10 - 20 mm;10;0.06240;-23.703;7.857;7.857;-23.703;17.899;4.708;0.006012;0.024257;0.000791;156;155
22.03.11;65;Mytilus edulis;Bivalvia;muscle tissue;31 mm;1;0.06260;-20.987;9.138;9.138;-20.987;1.643;5.883;0.003964;0.019989;0.000531;22;149
19.05.11;22;Mytilus edulis;Bivalvia;muscle tissue;15 - 20 mm;5;0.06370;-18.873;10.559;10.559;-18.873;11.039;4.526;0.005832;0.022624;0.000641;120;131
21.04.11;67;Mytilus edulis;Bivalvia;muscle tissue;43 mm;1;0.06410;-22.466;8.178;8.178;-22.466;16.053;5.139;0.005400;0.023787;0.000728;71;165
18.08.11;24;Mytilus edulis;Bivalvia;muscle tissue;<20 mm;5;0.06410;-18.805;12.533;12.533;-18.805;8.628;4.361;0.005721;0.021386;0.000617;170;148
04.08.11;18;Mytilus edulis;Bivalvia;muscle tissue;<30 mm;5;0.06470;-22.200;6.864;6.864;-22.200;17.311;5.224;0.005313;0.023791;0.000784;187;137
21.07.11;26;Mytilus edulis;Bivalvia;muscle tissue;25 mm;13;0.06630;-23.003;6.737;6.737;-23.003;16.371;4.053;0.006901;0.023974;0.000802;177;138
29.09.11;52;Mytilus edulis;Bivalvia;muscle tissue;34 mm;5;0.05690;-20.962;7.395;7.395;-20.962;16.800;6.195;0.004571;0.024271;0.000726;150;181
29.09.11;52;Mytilus edulis;Bivalvia;muscle tissue;28 mm;5;0.05710;-20.959;7.621;7.621;-20.959;17.366;6.146;0.004719;0.024861;0.000696;150;181
22.03.11;65;Mytilus galloprovincialis;Bivalvia;muscle tissue;20 mm;1;0.05540;-18.095;9.087;9.087;-18.095;13.873;5.903;0.005295;0.024115;0.000811;22;149
07.04.11;44;Mytilus galloprovincialis;Bivalvia;muscle tissue;<25 mm;3;0.06050;-23.641;7.290;7.290;-23.641;14.707;5.313;0.003584;0.018135;0.000472;48;164
07.04.11;44;Neoamphitrite figulus;Annelida ;whole individual;50 mm;1;0.05510;-21.841;11.332;11.332;-21.841;17.151;5.585;0.005435;0.018384;0.000472;48;164
07.04.11;44;Neoamphitrite figulus;Annelida ;whole individual;50 mm;1;0.06200;-20.750;10.127;10.127;-20.750;10.888;5.826;0.003449;0.017226;0.010003;48;164
07.04.11;44;Neoamphitrite figulus;Annelida ;whole individual;50 mm;1;0.06390;-17.666;10.095;10.095;-17.666;7.873;3.946;0.005490;0.026281;0.000536;48;164
07.04.11;44;Nephtys hombergii;Annelida ;whole individual;<20 mm;5;0.04230;-18.937;10.583;10.583;-18.937;11.486;4.567;0.005845;0.022879;0.000609;48;164
07.04.11;44;Nephtys hombergii;Annelida ;whole individual;70 mm;1;0.04990;-18.813;10.567;10.567;-18.813;10.925;4.291;0.007062;0.025975;0.000722;48;164
04.08.11;18;Nephtys hombergii;Annelida ;whole individual;<15 mm;5;0.05110;-18.414;5.941;5.941;-18.414;6.141;5.530;0.002970;0.014076;0.000323;187;137
19.05.11;22;Nephtys hombergii;Annelida ;whole individual;<10 mm;10;0.05110;-20.374;10.427;10.427;-20.374;9.302;5.137;0.004368;0.019235;0.000490;120;131
04.08.11;18;Nephtys hombergii;Annelida ;whole individual;<15 mm;5;0.05180;-10.095;7.246;7.246;-10.095;15.183;4.942;0.005432;0.023012;0.000751;187;137
07.04.11;44;Nephtys hombergii;Annelida ;whole individual;50 mm;1;0.05200;-21.201;6.920;6.920;-21.201;14.305;4.437;0.005955;0.022644;0.000849;48;164
08.03.11;50;Nephtys hombergii;Annelida ;whole individual;<10 mm;5;0.05210;-20.218;10.878;10.878;-20.218;8.650;;;0.011425;0.006814;12;132
07.04.11;44;Nephtys hombergii;Annelida ;whole individual;<10 mm;5;0.05350;-19.499;11.493;11.493;-19.499;7.829;4.663;0.005535;0.022122;0.000515;48;164
07.04.11;44;Nephtys hombergii;Annelida ;whole individual;<20 mm;6;0.05380;-20.748;11.628;11.628;-20.748;8.376;;;0.012527;0.007230;48;164
04.08.11;18;Nephtys hombergii;Annelida ;whole individual;<15 mm;5;0.05500;-18.667;7.596;7.596;-18.667;8.279;5.661;0.003393;0.016464;0.000373;187;137
04.08.11;18;Nephtys hombergii;Annelida ;whole individual;<15 mm;6;0.05540;-17.657;6.039;6.039;-17.657;8.837;5.638;0.003977;0.019221;0.000375;187;137
09.06.11;26;Nephtys hombergii;Annelida ;whole individual;20 mm;1;0.05620;-18.549;11.246;11.246;-18.549;10.923;4.311;0.006441;0.023799;0.000658;156;155
23.06.11;24;Nephtys hombergii;Annelida ;whole individual;<15 mm;10;0.06300;-20.217;8.180;8.180;-20.217;7.911;;;0.008378;0.006604;151;162
22.03.11;65;Nephtys hombergii;Annelida ;whole individual;49 mm;1;0.06490;-20.515;11.151;11.151;-20.515;9.636;;;0.007625;0.005827;22;149
07.07.11;23;Nereis pelagica;Annelida ;whole individual;20 mm;1;0.02600;-18.949;10.806;10.806;-18.949;8.945;4.586;0.005135;0.019575;0.000597;174;152
07.04.11;44;Nereis pelagica;Annelida ;whole individual;70 mm;1;0.04440;-18.191;10.917;10.917;-18.191;16.788;4.880;0.005167;0.021611;0.000670;48;164
08.03.11;50;Nereis pelagica;Annelida ;whole individual;19 mm;1;0.04640;-20.100;10.223;10.223;-20.100;13.014;4.468;0.006444;0.024676;0.000806;12;132
08.03.11;50;Nereis pelagica;Annelida ;whole individual;28 mm;1;0.04680;-18.729;11.006;11.006;-18.729;9.440;4.546;0.006022;0.023467;0.000647;12;132
05.05.11;40;Nereis pelagica;Annelida ;whole individual;41 mm;1;0.04680;-19.560;9.722;9.722;-19.560;11.763;4.301;0.005712;0.021056;0.000534;99;171
08.03.11;50;Nereis pelagica;Annelida ;whole individual;88 mm;1;0.04720;-18.917;10.298;10.298;-18.917;10.821;4.476;0.005566;0.021357;0.000683;12;132
08.03.11;50;Nereis pelagica;Annelida ;whole individual;50 mm;1;0.04730;-18.312;10.217;10.217;-18.312;9.268;4.484;0.005728;0.022015;0.000574;12;132
08.03.11;50;Nereis pelagica;Annelida ;whole individual;31 mm;1;0.04810;-18.411;11.320;11.320;-18.411;7.531;4.624;0.004542;0.018005;0.000569;12;132
07.07.11;23;Nereis pelagica;Annelida ;whole individual;<15 mm;3;0.04940;-18.740;10.041;10.041;-18.740;8.611;4.516;0.005476;0.021195;0.000751;174;152
05.05.11;40;Nereis pelagica;Annelida ;whole individual;40 mm;1;0.04960;-17.891;11.852;11.852;-17.891;8.091;4.284;0.004977;0.018274;0.000565;99;171
18.08.11;24;Nereis pelagica;Annelida ;whole individual;<23 mm;3;0.05000;-19.036;12.313;12.313;-19.036;8.382;4.269;0.006399;0.023413;0.000667;170;148
18.08.11;24;Nereis pelagica;Annelida ;whole individual;<20 mm;3;0.05050;-15.753;7.664;7.664;-15.753;15.452;5.482;0.004042;0.018993;0.000552;170;148
18.08.11;24;Nereis pelagica;Annelida ;whole individual;<22 mm;3;0.05050;-18.686;11.910;11.910;-18.686;8.527;4.237;0.006240;0.022663;0.000650;170;148
07.04.11;44;Nereis pelagica;Annelida ;whole individual;<15 mm;2;0.05070;-18.149;11.662;11.662;-18.149;9.085;;;0.009202;0.006584;48;164
08.03.11;50;Nereis pelagica;Annelida ;whole individual;52 mm;1;0.05090;-17.431;11.758;11.758;-17.431;12.315;4.361;0.006269;0.023434;0.000616;12;132
08.03.11;50;Nereis pelagica;Annelida ;whole individual;49 mm;1;0.05090;-19.035;12.105;12.105;-19.035;9.967;4.729;0.005536;0.022444;0.000758;12;132
22.03.11;65;Nereis pelagica;Annelida ;whole individual;40 mm;1;0.05140;-20.246;9.505;9.505;-20.246;8.277;0.023;0.634021;0.011599;0.006794;22;149
22.03.11;65;Nereis pelagica;Annelida ;whole individual;<22 mm;3;0.05140;-20.779;10.430;10.430;-20.779;9.306;5.193;0.004899;0.021806;0.000602;22;149
21.07.11;26;Nereis pelagica;Annelida ;whole individual;10 - 20 mm;6;0.05140;-19.330;10.001;10.001;-19.330;11.794;4.674;0.004176;0.016732;0.000476;177;138
08.03.11;50;Nereis pelagica;Annelida ;whole individual;61 mm;1;0.05160;-18.857;10.077;10.077;-18.857;9.368;4.512;0.005957;0.023037;0.000676;12;132
23.06.11;24;Nereis pelagica;Annelida ;whole individual;<15 mm;9;0.05160;-19.325;10.571;10.571;-19.325;9.228;;;0.008701;0.007254;151;162
22.03.11;65;Nereis pelagica;Annelida ;whole individual;<13 mm;6;0.05170;-18.639;10.614;10.614;-18.639;10.733;4.654;0.005629;0.022457;0.000604;22;149
08.03.11;50;Nereis pelagica;Annelida ;whole individual;26 mm;1;0.05190;-18.907;10.842;10.842;-18.907;9.795;4.323;0.005610;0.020789;0.000544;12;132
09.06.11;26;Nereis pelagica;Annelida ;whole individual;20 mm;1;0.05220;-18.481;12.611;12.611;-18.481;12.151;4.834;0.004354;0.018038;0.012586;156;155
08.03.11;50;Nereis pelagica;Annelida ;whole individual;86 mm;1;0.05240;-17.457;12.830;12.830;-17.457;9.759;4.587;0.005116;0.020114;0.014491;12;132
08.03.11;50;Nereis pelagica;Annelida ;whole individual;46 mm;1;0.05240;-20.374;11.745;11.745;-20.374;12.336;4.795;0.005847;0.024031;0.000710;12;132
05.05.11;40;Nereis pelagica;Annelida ;whole individual;<20 mm;2;0.05240;-19.421;10.054;10.054;-19.421;18.599;6.087;0.004501;0.023482;0.000670;99;171
08.03.11;50;Nereis pelagica;Annelida ;whole individual;34 mm;1;0.05320;-22.747;7.974;7.974;-22.747;16.689;4.763;0.007045;0.028762;0.001031;12;132
19.05.11;22;Nereis pelagica;Annelida ;whole individual;<15 mm;2;0.05380;-18.340;11.742;11.742;-18.340;10.054;4.389;0.005194;0.019540;0.000545;120;131
15.09.11;19;Nereis pelagica;Annelida ;whole individual;<8 mm;2;0.05390;-19.174;9.884;9.884;-19.174;11.516;4.465;0.006731;0.025759;0.000594;150;174
08.03.11;50;Nereis pelagica;Annelida ;whole individual;48 mm;1;0.05440;-18.866;11.697;11.697;-18.866;10.778;4.543;0.005744;0.022368;0.000747;12;132
09.06.11;26;Nereis pelagica;Annelida ;whole individual;21 mm;1;0.05450;-18.619;12.746;12.746;-18.619;13.515;4.944;0.004328;0.018344;0.009394;156;155
07.04.11;44;Nereis pelagica;Annelida ;whole individual;<15 mm;8;0.05450;-18.744;12.241;12.241;-18.744;7.681;;;0.009592;0.006727;48;164
08.03.11;50;Nereis pelagica;Annelida ;whole individual;52 mm;1;0.05470;-18.932;9.965;9.965;-18.932;10.848;4.800;0.004863;0.020008;0.000598;12;132
07.07.11;23;Nereis pelagica;Annelida ;whole individual;44 mm;1;0.05490;-18.178;12.664;12.664;-18.178;9.821;4.412;0.004892;0.018502;0.000589;174;152
04.08.11;18;Nereis pelagica;Annelida ;whole individual;<15 mm;5;0.05520;-17.793;9.771;9.771;-17.793;12.860;4.529;0.004906;0.019047;0.000496;187;137
08.03.11;50;Nereis pelagica;Annelida ;whole individual;65 mm;1;0.05570;-18.498;12.019;12.019;-18.498;9.939;4.400;0.005557;0.020958;0.000565;12;132
04.08.11;18;Nereis pelagica;Annelida ;whole individual;<20 mm;4;0.05700;-17.935;5.871;5.871;-17.935;6.218;5.492;0.002169;0.010213;0.000265;187;137
08.03.11;50;Nereis pelagica;Annelida ;whole individual;34 mm;1;0.05740;-16.686;10.974;10.974;-16.686;11.213;4.506;0.005463;0.021097;0.000587;12;132
23.06.11;24;Nereis pelagica;Annelida ;whole individual;<40 mm;2;0.05790;-18.180;8.586;8.586;-18.180;6.428;;;0.010214;0.006851;151;162
18.08.11;24;Nereis pelagica;Annelida ;whole individual;<24 mm;3;0.05900;-19.225;11.826;11.826;-19.225;11.519;4.756;0.005985;0.024397;0.000595;170;148
04.08.11;18;Nereis pelagica;Annelida ;whole individual;<25 mm;3;0.05920;-18.495;11.943;11.943;-18.495;9.354;4.420;0.005769;0.021854;0.000630;187;137
08.03.11;50;Nereis pelagica;Annelida ;whole individual;46 mm;1;0.05930;-18.324;10.367;10.367;-18.324;10.690;4.412;0.005887;0.022262;0.000631;12;132
07.07.11;23;Nereis pelagica;Annelida ;whole individual;<15 mm;10;0.05940;-18.518;10.766;10.766;-18.518;9.810;;;0.010977;0.007442;174;152
04.08.11;18;Nereis pelagica;Annelida ;whole individual;<20 mm;2;0.05950;-19.148;11.759;11.759;-19.148;11.609;4.401;0.005721;0.021578;0.000585;187;137
30.08.11;43;Nereis pelagica;Annelida ;whole individual;30 mm;1;0.05960;-22.245;7.606;7.606;-22.245;13.856;8.940;0.010697;0.081966;0.001003;151;169
05.05.11;40;Nereis pelagica;Annelida ;whole individual;<23 mm;2;0.05960;-17.851;12.455;12.455;-17.851;12.043;4.485;0.005946;0.022856;0.000760;99;171
08.03.11;50;Nereis pelagica;Annelida ;whole individual;16 mm;1;0.06050;-23.120;7.339;7.339;-23.120;16.291;4.909;0.005834;0.024550;0.000773;12;132
07.04.11;44;Nereis pelagica;Annelida ;whole individual;<20 mm;1;0.06050;-22.939;10.824;10.824;-22.939;18.501;6.266;0.004993;0.026815;0.000578;48;164
08.03.11;50;Nereis pelagica;Annelida ;whole individual;14 mm;1;0.06070;-18.739;12.325;12.325;-18.739;9.923;5.058;0.004185;0.018144;0.012274;12;132
08.03.11;50;Nereis pelagica;Annelida ;whole individual;25 mm;1;0.06100;-23.358;6.930;6.930;-23.358;12.514;4.986;0.004494;0.019204;0.000720;12;132
18.08.11;24;Nereis pelagica;Annelida ;whole individual;<21 mm;3;0.06110;-18.782;11.940;11.940;-18.782;10.580;4.350;0.006485;0.024180;0.000722;170;148
07.07.11;23;Nereis pelagica;Annelida ;whole individual;43 mm;1;0.06200;-18.249;11.421;11.421;-18.249;9.713;4.417;0.005115;0.019366;0.000612;174;152
19.05.11;22;Nereis pelagica;Annelida ;whole individual;39 mm;1;0.06210;-17.502;8.541;8.541;-17.502;16.337;6.539;0.004273;0.023949;0.000576;120;131
04.08.11;18;Nereis pelagica;Annelida ;whole individual;<60 mm;1;0.06370;-18.021;10.421;10.421;-18.021;7.583;4.397;0.005160;0.019448;0.000559;187;137
05.05.11;40;Nereis pelagica;Annelida ;whole individual;<20 mm;2;0.06390;-17.849;12.510;12.510;-17.849;8.226;4.335;0.007389;0.027454;0.000798;99;171
08.03.11;50;Nereis pelagica;Annelida ;whole individual;37 mm;1;0.06740;-18.758;10.340;10.340;-18.758;10.779;4.588;0.006197;0.024369;0.000711;12;132
08.03.11;50;Nereis pelagica;Annelida ;whole individual;19 mm;1;0.06940;-22.315;7.887;7.887;-22.315;14.818;4.491;0.006246;0.024042;0.000881;12;132
29.09.11;52;Nereis pelagica;Annelida ;whole individual;<30 mm;3;0.06420;-18.637;9.911;9.911;-18.637;8.835;4.279;0.007068;0.025922;0.000716;150;181
05.05.11;40;Nerophis ophidion;Fish;muscle tissue;110 mm;1;0.04970;-22.287;11.554;11.554;-22.287;15.947;4.701;0.004684;0.018874;0.000372;99;171
07.07.11;23;Nerophis ophidion;Fish;muscle tissue;153 mm;1;0.05420;-21.139;8.454;8.454;-21.139;14.547;5.332;0.004408;0.020148;0.000644;174;152
05.05.11;40;Nerophis ophidion;Fish;muscle tissue;98 mm;1;0.05470;-20.976;11.015;11.015;-20.976;16.173;4.722;0.005118;0.020713;0.000399;99;171
07.07.11;23;Nerophis ophidion;Fish;muscle tissue;114 mm;1;0.05830;-17.483;10.435;10.435;-17.483;12.336;4.323;0.005074;0.018801;0.008987;174;152
05.05.11;40;Nerophis ophidion;Fish;muscle tissue;132 mm;1;0.05840;-23.244;8.897;8.897;-23.244;17.065;5.549;0.004214;0.020042;0.000629;99;171
15.09.11;19;Nerophis ophidion;Fish;muscle tissue;120 mm;1;0.05940;-22.448;10.740;10.740;-22.448;17.605;8.546;0.004283;0.031375;0.000505;150;174
07.07.11;23;Nerophis ophidion;Fish;muscle tissue;138 mm;1;0.05960;-18.359;11.668;11.668;-18.359;7.167;4.497;0.005928;0.022846;0.000743;174;152
29.09.11;52;Nerophis ophidion;Fish;muscle tissue;90 mm;1;0.05280;-19.183;10.501;10.501;-19.183;13.216;6.153;0.006090;0.032119;0.000413;150;181
29.09.11;52;Nerophis ophidion;Fish;muscle tissue;56 mm;2;0.05910;-19.340;10.049;10.049;-19.340;15.547;7.462;0.004082;0.026106;0.000525;150;181
07.04.11;44;Oithona sp.;Copepoda ;whole individual;;12;0.04010;-25.093;8.728;8.728;-25.093;20.092;5.416;0.002603;0.012085;0.001293;48;164
09.06.11;26;Oithona sp.;Copepoda ;whole individual;;15;0.06860;-26.473;4.497;4.497;-26.473;21.904;4.365;0.001755;0.006567;0.005183;156;155
22.03.11;65;Oithona sp.;Copepoda ;whole individual;;15;0.09970;-25.293;8.243;8.243;-25.293;19.666;5.639;0.003252;0.015718;0.001531;22;149
19.05.11;22;Oithona sp.;Copepoda ;whole individual;;10;0.12610;-25.790;4.688;4.688;-25.790;20.456;4.893;0.001793;0.007518;0.002270;120;131
21.04.11;67;Oithona sp.;Copepoda ;whole individual;;10;0.12690;-24.930;8.502;8.502;-24.930;20.523;5.618;0.002165;0.010425;0.001871;71;165
05.05.11;40;Oithona sp.;Copepoda ;whole individual;;10;0.15510;-25.741;6.525;6.525;-25.741;19.239;5.044;0.001477;0.006388;0.001448;99;171
23.06.11;24;Oithona sp.;Copepoda ;whole individual;;15;0.16480;-25.088;7.248;7.248;-25.088;18.499;10.181;0.005793;0.050548;0.001526;151;162
07.04.11;44;Oithona sp.;Copepoda ;whole individual;;15;0.18890;-24.138;9.529;9.529;-24.138;21.102;6.050;0.001882;0.009761;0.003120;48;164
22.03.11;65;Oithona sp.;Copepoda ;whole individual;;15;0.20520;-25.367;9.149;9.149;-25.367;20.130;5.691;0.003171;0.015469;0.002387;22;149
19.05.11;22;Oithona sp.;Copepoda ;whole individual;;5;0.23770;-24.514;7.155;7.155;-24.514;20.921;4.391;0.002204;0.008295;0.002170;120;131
05.05.11;40;Oithona sp.;Copepoda ;whole individual;;10;0.24360;-25.809;5.725;5.725;-25.809;21.445;4.648;0.001771;0.007054;0.004886;99;171
22.03.11;65;Oithona sp.;Copepoda ;whole individual;;15;0.26810;-24.917;9.862;9.862;-24.917;20.923;5.227;0.004038;0.018091;0.003537;22;149
19.05.11;22;Oithona sp.;Copepoda ;whole individual;;10;0.31310;-24.697;6.014;6.014;-24.697;15.101;4.572;0.001835;0.007190;0.000536;120;131
21.04.11;67;Oithona sp.;Copepoda ;whole individual;;10;0.32610;-26.364;3.661;3.661;-26.364;21.122;5.270;0.001116;0.005043;0.002654;71;165
05.05.11;40;Oithona sp.;Copepoda ;whole individual;;10;0.37430;-25.858;7.317;7.317;-25.858;21.288;4.693;0.002135;0.008588;0.004356;99;171
08.03.11;50;Oithona sp.;Copepoda ;whole individual;;2;0.43230;-25.045;9.543;9.543;-25.045;19.450;4.893;0.003861;0.016196;0.001171;12;132
09.06.11;26;Oithona sp.;Copepoda ;whole individual;;15;0.53990;-26.721;6.027;6.027;-26.721;21.966;4.499;0.001390;0.005359;0.004705;156;155
19.05.11;22;Palaemon adspersus;Decapoda;whole individual;33 mm;1;0.05350;-18.081;11.179;11.179;-18.081;14.540;4.188;0.006045;0.021699;0.010590;120;131
09.06.11;26;Palaemon adspersus;Decapoda;whole individual;35 mm;1;0.05650;-17.023;11.229;11.229;-17.023;14.977;4.286;0.005646;0.020743;0.015842;156;155
19.05.11;22;Palaemon adspersus;Decapoda;whole individual;35 mm;1;0.06000;-20.482;10.030;10.030;-20.482;14.819;4.767;0.005168;0.021116;0.000582;120;131
29.09.11;52;Palaemon adspersus;Decapoda;whole individual;35 mm;1;0.05500;-18.534;11.144;11.144;-18.534;16.299;5.044;0.005950;0.025726;0.000561;150;181
29.09.11;52;Palaemon adspersus;Decapoda;whole individual;37 mm;1;0.05830;-11.849;10.937;10.937;-11.849;15.267;21.027;0.005606;0.101041;0.000509;150;181
29.09.11;52;Palaemon adspersus;Decapoda;whole individual;54 mm;1;0.05750;-17.979;10.522;10.522;-17.979;14.954;4.821;0.007141;0.029510;0.000635;150;181
29.09.11;52;Palaemon adspersus;Decapoda;whole individual;40 mm;1;0.05660;-12.105;7.596;7.596;-12.105;15.521;26.898;0.004263;0.098297;0.000843;150;181
29.09.11;52;Palaemon adspersus;Decapoda;whole individual;<20 mm;2;0.05790;-18.856;10.830;10.830;-18.856;15.174;6.012;0.005211;0.026854;0.000558;150;181
04.08.11;18;Phascolion strombi;Annelida;whole individual;10 mm;1;0.05130;-18.937;12.899;12.899;-18.937;9.131;4.517;0.006164;0.023864;0.000652;187;137
21.04.11;67;Phascolion strombi;Annelida;whole individual;30 mm;1;0.05500;-18.704;11.849;11.849;-18.704;10.939;4.566;0.006692;0.026195;0.000780;71;165
22.03.11;65;Phascolion strombi;Annelida;whole individual;55 mm;1;0.05680;-20.731;6.902;6.902;-20.731;3.623;5.221;0.003439;0.015390;0.000626;22;149
05.05.11;40;Phascolion strombi;Annelida;whole individual;<15 mm;3;0.05720;-9.426;8.186;8.186;-9.426;0.887;25.310;0.003452;0.074891;0.001663;99;171
07.04.11;44;Polydora ciliata;Annelida;whole individual;<10 mm;5;0.05600;-19.817;11.813;11.813;-19.817;17.471;5.267;0.007480;0.033768;0.000699;48;164
30.08.11;43;Pomatoschistus minutus;Fish;muscle tissue;44 mm;1;0.05020;-15.404;10.451;10.451;-15.404;8.714;5.152;0.005637;0.024892;0.000541;151;169
30.08.11;43;Pomatoschistus minutus;Fish;muscle tissue;68 mm;1;0.05160;-15.336;11.658;11.658;-15.336;11.311;4.255;0.008261;0.030129;0.000890;151;169
15.09.11;19;Pomatoschistus minutus;Fish;muscle tissue;51 mm;1;0.05210;-20.237;12.752;12.752;-20.237;17.775;4.099;0.006967;0.024476;0.000656;150;174
15.09.11;19;Pomatoschistus minutus;Fish;muscle tissue;70 mm;1;0.05380;-19.334;12.151;12.151;-19.334;16.245;4.064;0.007103;0.024743;0.000644;150;174
05.05.11;40;Pomatoschistus minutus;Fish;muscle tissue;49 mm;1;0.05810;-21.594;5.363;5.363;-21.594;7.951;11.752;0.001276;0.012853;0.000309;99;171
19.05.11;22;Pomatoschistus minutus;Fish;muscle tissue;57 mm;1;0.05870;-21.029;12.315;12.315;-21.029;11.673;4.170;0.006888;0.024622;0.000592;120;131
29.09.11;52;Pomatoschistus minutus;Fish;muscle tissue;74 mm;1;0.05390;-20.429;12.259;12.259;-20.429;17.738;3.980;0.007585;0.025879;0.000805;150;181
19.05.11;22;Praunus flexuosus;Crustacea;whole individual;30 mm;1;0.04580;-18.790;9.652;9.652;-18.790;17.116;5.498;0.003706;0.017463;0.000434;120;131
19.05.11;22;Praunus flexuosus;Crustacea;whole individual;26 mm;1;0.04880;-20.329;10.383;10.383;-20.329;15.933;4.798;0.006040;0.024842;0.000662;120;131
